beta,reversal_rate,avg_welfare_gain
0.4,0.45,9.75
0.42000000000000004,0.45,9.75
0.44,0.45,9.75
0.46,0.45,9.75
0.48000000000000004,0.45,9.75
0.5,0.45,9.75
0.52,0.45,9.75
0.54,0.45,9.75
0.56,0.45,9.75
0.5800000000000001,0.45,9.75
0.6000000000000001,0.45,9.75
0.62,0.45,9.75
0.64,0.45,9.75
0.66,0.45,9.75
0.68,0.4,8.75
0.7,0.35,7.75
0.72,0.35,7.75
0.74,0.35,7.75
0.76,0.3,6.5
0.78,0.25,6.0
0.8,0.2,4.75
0.8200000000000001,0.1,2.75
0.8400000000000001,0.1,2.75
0.8600000000000001,0.05,1.25
0.88,0.0,0.0
0.9,0.0,0.0
0.92,0.0,0.0
0.9400000000000001,0.0,0.0
0.9600000000000001,0.0,0.0
0.98,0.0,0.0
1.0,0.0,0.0
