item_id,scenario,no_commit_choice,with_commit_choice,no_commit_realized_u,commit_realized_u,welfare_gain_commitment
1,immediate,SS,SS,25.0,25.0,0.0
2,immediate,LL,LL,50.0,50.0,0.0
3,immediate,SS,SS,40.0,40.0,0.0
4,immediate,SS,SS,45.0,45.0,0.0
5,immediate,LL,LL,40.0,40.0,0.0
6,immediate,SS,SS,55.0,55.0,0.0
7,immediate,SS,SS,35.0,35.0,0.0
8,immediate,SS,SS,75.0,75.0,0.0
9,immediate,SS,SS,60.0,60.0,0.0
10,immediate,SS,SS,50.0,50.0,0.0
11,future,SS,LL,25.0,35.0,10.0
12,future,LL,LL,50.0,50.0,0.0
13,future,SS,LL,40.0,55.0,15.0
14,future,SS,LL,45.0,70.0,25.0
15,future,LL,LL,40.0,40.0,0.0
16,future,SS,LL,55.0,80.0,25.0
17,future,SS,LL,35.0,65.0,30.0
18,future,SS,LL,75.0,100.0,25.0
19,future,SS,LL,60.0,85.0,25.0
20,future,SS,SS,50.0,50.0,0.0
